,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
202,1,0,1,0,0,0,0,1,0,0,0,0
203,1,0,1,0,0,1,0,1,0,0,0,1
204,1,0,0,1,0,0,1,0,0,1,0,1
205,0,0,1,0,0,0,0,0,0,0,0,0
206,1,0,1,0,0,0,0,1,0,0,0,0
207,1,0,0,1,0,0,0,0,0,1,0,1
208,1,0,0,1,0,0,0,1,0,1,0,1
209,1,0,1,0,0,0,0,1,0,0,0,0
210,1,0,1,0,0,0,0,0,0,0,0,0
211,1,0,1,0,0,0,0,1,0,0,0,1
212,1,0,0,1,0,0,0,1,0,1,0,1
213,0,0,1,0,0,0,1,0,0,0,0,0
214,1,0,0,1,0,0,0,1,0,0,0,1
215,0,0,1,0,0,0,0,1,0,0,0,0
216,1,0,0,1,0,0,0,1,0,0,0,1
217,1,0,1,0,0,0,0,0,0,1,0,1
218,1,0,0,1,0,0,0,1,0,1,1,1
219,1,0,0,1,0,0,1,1,0,1,0,1
220,1,0,0,1,0,0,1,1,0,1,0,1
221,1,0,0,1,0,0,0,0,0,0,0,0
222,0,0,1,0,0,0,1,1,0,1,0,1
223,0,0,1,0,0,0,0,0,0,0,0,1
224,1,0,1,0,0,0,0,1,0,1,0,1
225,1,0,0,1,0,0,0,1,0,0,0,1
226,1,0,1,0,0,0,0,1,0,0,0,0
227,0,0,0,1,0,0,0,0,0,1,0,0
228,1,0,1,0,0,0,0,1,0,0,0,0
229,1,0,0,1,0,0,0,1,0,1,0,1
230,1,0,1,0,0,0,0,0,0,0,1,0
231,1,0,1,0,0,0,0,1,0,1,0,1
232,1,0,0,1,0,0,0,1,0,1,0,1
233,1,0,1,0,0,0,0,1,0,0,0,0
234,1,0,1,0,0,0,0,1,0,0,0,0
235,0,0,1,0,0,0,0,1,0,0,0,0
236,0,0,1,0,0,0,0,0,0,1,0,0
237,0,0,0,1,0,0,0,1,0,0,0,0
238,1,0,1,0,0,0,0,0,0,0,0,1
239,0,0,1,0,0,0,0,1,0,0,0,0
240,1,0,1,0,0,0,0,0,0,0,0,0
241,1,0,1,0,0,0,0,1,0,0,0,0
242,0,0,1,0,0,0,0,1,0,0,0,0
243,1,0,0,1,0,0,1,0,0,0,0,0
244,1,0,1,0,0,0,0,1,0,1,0,1
245,1,0,1,0,0,0,0,0,0,0,1,0
246,1,0,0,1,0,0,0,1,0,1,0,1
247,1,0,0,1,0,0,1,0,0,0,0,1
248,0,0,0,1,0,0,1,1,0,0,0,1
249,0,0,1,0,0,0,0,0,0,0,0,0
250,1,0,0,1,0,0,0,0,0,0,0,1
251,1,0,0,1,0,0,0,1,0,0,0,0
252,0,0,1,0,0,0,0,1,0,1,0,0
253,1,0,1,0,0,0,0,1,0,0,0,1
254,1,0,1,0,0,0,0,1,0,1,0,1
255,1,0,1,0,0,0,0,0,0,1,0,1
256,1,0,1,1,0,0,0,0,0,1,0,1
257,1,0,0,1,0,0,0,0,0,1,0,1
258,0,0,1,0,0,0,0,0,0,0,0,1
259,0,0,1,0,0,0,0,1,0,0,0,0
260,1,0,0,1,0,0,1,1,0,1,1,1
261,1,0,1,0,0,0,0,0,0,1,0,1
262,0,0,1,0,0,0,0,0,0,0,0,0
263,1,0,0,1,0,0,1,1,0,1,0,1
264,0,0,1,0,0,0,0,0,0,0,0,0
265,0,0,1,0,0,0,0,1,0,0,0,0
266,1,0,1,0,0,0,0,0,0,0,0,1
267,1,0,1,0,0,0,0,1,0,0,0,1
268,1,0,0,1,0,0,0,0,0,1,0,1
269,1,0,0,1,0,0,1,0,0,1,0,1
270,1,0,0,1,0,1,0,0,0,0,0,1
271,0,0,1,0,0,0,0,0,0,0,0,0
272,1,0,0,1,0,0,0,0,0,0,0,1
273,1,0,0,1,0,0,0,1,0,0,0,0
274,1,0,1,0,0,0,0,0,0,1,0,1
275,1,0,0,1,0,0,0,0,0,0,0,1
276,1,0,1,0,0,0,0,1,0,0,0,0
277,1,0,1,0,0,0,1,0,0,0,0,1
278,0,0,1,0,0,0,0,1,0,1,0,1
279,1,0,1,0,0,0,0,1,0,0,0,0
280,1,0,0,1,0,0,1,1,0,1,0,1
281,1,0,1,0,0,0,0,0,0,0,0,0
282,1,0,1,0,0,0,0,0,0,1,0,1
283,0,0,1,0,0,0,0,1,0,0,0,0
284,0,0,1,0,0,0,0,1,0,0,0,0
285,1,0,1,0,0,0,1,0,0,0,0,0
286,0,0,1,0,0,0,0,0,0,0,0,0
287,1,0,0,1,0,0,0,0,0,1,0,0
288,0,0,0,1,0,0,0,0,0,0,0,0
289,0,0,1,0,0,0,0,0,0,0,0,0
290,1,0,0,1,0,0,0,1,0,1,0,1
291,1,0,1,0,0,0,0,0,0,0,0,0
292,1,0,1,0,0,0,0,1,0,1,0,1
293,1,0,1,0,0,0,0,1,0,0,0,0
294,0,0,1,0,0,0,0,0,0,0,0,0
295,0,0,0,1,0,0,0,0,0,0,0,0
296,1,0,1,0,0,0,0,0,0,0,0,0
297,0,0,1,0,0,0,0,0,0,0,0,0
298,0,0,0,1,0,0,0,1,0,0,0,0
299,0,0,1,0,0,0,0,1,0,0,0,0
300,0,0,1,0,0,0,0,0,0,0,0,0
301,1,0,1,0,0,0,0,0,0,0,0,0
302,1,0,1,0,0,0,0,1,0,1,0,1
303,1,0,0,1,0,0,0,1,0,0,0,1
304,1,0,1,0,0,0,0,1,0,0,0,0
305,1,0,0,1,0,0,0,1,0,0,0,1
306,1,0,1,0,0,0,0,1,0,1,0,1
307,1,0,1,0,0,0,0,0,0,0,0,0
308,1,0,0,1,0,0,0,0,0,0,0,0
309,1,0,0,1,0,0,1,1,0,1,0,1
310,1,0,1,0,0,0,0,1,0,1,0,1
311,1,0,1,0,0,0,0,1,0,0,0,0
312,1,0,0,1,0,0,0,0,0,1,0,1
313,1,0,1,0,0,0,1,1,0,0,1,0
314,1,0,1,0,0,0,0,0,0,0,0,0
315,0,0,1,0,0,0,0,1,0,0,0,0
316,1,0,1,0,0,0,0,0,0,1,0,1
317,1,0,0,1,0,0,1,1,0,1,0,1
318,1,0,0,1,0,0,0,1,0,1,0,1
319,0,0,1,0,0,0,0,1,0,0,0,0
320,0,0,0,1,0,0,0,1,0,0,0,0
321,1,0,0,1,0,0,1,0,0,0,0,1
322,1,0,1,0,0,0,0,0,0,0,1,1
323,0,0,1,0,0,0,1,1,0,0,0,1
324,1,0,0,1,0,1,0,0,0,0,0,1
325,1,0,1,0,0,0,0,0,0,0,0,1
326,1,0,0,1,0,0,1,1,0,1,0,1
327,1,0,0,1,0,0,0,1,0,1,0,1
328,0,0,1,0,0,0,0,1,0,0,0,0
329,0,0,1,0,0,0,0,1,0,0,0,0
330,1,0,1,0,0,0,0,1,0,0,1,0
331,1,0,1,0,0,0,0,0,0,1,0,0
332,1,0,0,1,0,0,1,1,0,1,0,1
333,1,0,1,0,0,0,0,1,0,0,0,0
334,0,0,1,0,0,0,0,0,0,0,0,0
335,0,0,0,1,0,0,0,1,0,1,0,0
336,1,0,1,0,0,0,1,1,0,1,0,1
337,1,0,0,1,0,0,0,1,0,0,0,0
338,1,0,0,1,0,0,0,0,0,1,0,1
339,1,0,0,1,0,0,1,1,0,1,0,1
340,0,0,1,0,0,0,0,1,0,1,0,1
341,1,0,1,0,0,0,1,1,0,1,0,1
342,0,0,1,0,0,0,0,0,0,1,0,0
343,1,0,1,0,0,0,0,0,0,0,0,1
344,1,0,0,1,0,0,0,1,0,0,0,1
345,1,0,1,0,0,0,0,1,0,1,1,1
346,1,0,0,1,0,0,1,1,0,1,0,1
347,0,0,0,1,0,0,0,1,0,0,0,0
348,0,0,1,0,0,0,0,1,0,1,0,0
349,0,0,1,0,0,0,1,1,0,0,0,0
350,0,0,1,0,0,0,1,1,0,1,0,1
351,1,0,1,0,0,0,0,1,0,1,0,1
352,0,0,1,0,0,0,0,1,0,0,1,0
353,1,0,1,0,0,0,0,0,0,0,0,0
354,0,0,1,0,0,0,0,0,0,0,0,1
355,1,0,1,0,0,0,0,1,0,1,0,1
356,0,0,1,0,0,0,0,1,0,0,0,0
357,1,0,1,0,0,0,0,1,0,1,0,1
358,0,0,0,1,0,0,0,1,0,0,0,0
359,1,0,0,1,0,0,0,1,0,1,0,1
360,0,0,1,0,0,0,0,0,0,0,0,0
361,1,0,0,1,0,0,0,0,0,0,0,1
362,0,0,1,0,0,0,0,0,0,0,0,0
363,1,0,0,1,0,0,0,1,0,1,0,1
364,1,0,0,1,0,0,1,0,0,1,0,1
365,1,0,0,1,0,0,0,0,0,1,0,1
366,0,0,1,0,0,0,0,0,0,0,0,0
367,1,0,0,1,0,0,0,1,0,0,0,0
368,0,0,1,0,0,0,0,0,0,0,1,0
369,1,0,1,0,0,0,1,1,0,0,0,1
370,0,0,0,1,0,0,0,1,0,1,0,0
371,1,0,1,0,0,0,0,1,0,0,0,0
372,1,0,1,0,0,0,0,1,0,1,0,1
373,1,0,0,1,0,0,0,1,0,0,0,1
374,1,0,1,0,0,0,0,1,0,0,0,0
375,0,0,1,0,0,0,0,1,0,0,0,0
376,1,0,0,1,0,0,0,0,0,1,0,1
377,1,0,0,1,0,0,0,0,0,1,0,1
378,1,0,0,1,0,0,0,1,0,0,0,0
379,1,0,0,1,0,0,0,1,0,1,0,1
380,1,0,1,0,0,0,0,1,0,0,0,0
381,1,0,0,1,0,0,1,1,0,1,0,1
382,1,0,1,0,0,0,0,1,0,0,0,0
383,1,0,0,1,0,0,0,1,0,1,0,1
384,1,0,1,0,0,0,0,1,0,0,1,0
385,0,0,0,1,0,0,0,1,0,0,0,0
386,1,0,1,0,0,0,0,0,0,0,0,1
387,1,0,0,1,0,0,0,1,0,0,0,0
388,1,0,1,0,0,0,0,0,0,0,0,0
389,0,0,1,0,0,0,0,0,0,0,0,0
390,0,0,1,0,0,0,0,1,0,0,0,0
391,0,0,0,1,0,0,0,1,0,0,0,0
392,1,0,0,1,0,0,0,0,0,0,0,1
393,0,0,0,1,0,0,0,0,0,0,0,0
394,1,0,0,1,0,0,0,0,0,0,0,1
395,0,0,1,0,0,0,0,1,0,0,0,0
396,1,0,0,1,0,0,1,1,0,1,0,1
397,0,0,1,0,0,0,0,1,0,0,0,0
398,1,0,0,1,0,0,0,1,0,0,0,1
399,0,0,1,0,0,0,1,0,0,0,1,1
400,1,0,1,0,0,1,0,1,0,1,0,1
401,0,0,1,0,0,0,0,0,0,0,0,0
402,0,0,1,0,0,0,0,1,0,1,0,1
403,1,0,1,0,0,0,0,0,0,1,0,0
404,0,0,1,0,0,0,0,0,0,0,0,1
405,1,0,0,1,0,0,0,1,0,0,0,1
406,1,0,1,0,0,0,0,0,0,0,0,0
407,0,0,1,0,0,0,0,1,0,0,0,0
408,1,0,0,1,0,0,0,1,0,0,0,0
409,1,0,1,0,0,0,1,0,0,0,0,0
410,1,0,1,0,0,0,0,1,0,0,0,0
411,1,0,1,0,0,0,0,0,0,0,1,0
412,1,0,0,1,0,0,0,1,0,1,0,1
413,1,0,1,0,0,0,0,1,0,0,0,0
414,0,0,0,1,0,0,0,1,0,1,0,0
415,1,0,0,1,0,0,0,0,0,1,0,0
416,1,0,0,1,0,0,0,1,0,1,0,1
417,0,0,0,1,0,0,0,0,0,0,0,0
418,1,0,1,0,0,0,0,1,0,0,0,0
419,1,0,1,0,0,0,0,1,0,0,0,0
420,0,0,1,0,0,0,0,0,0,1,0,0
